region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
1400,4,mark_refine,224346.931897,222796.804576,-1550.1273210000072,224346.964231,222796.849523,-1550.1147079999791,0.03233399998862296,0.04494700001669116,0.0126130000280682
1400,5,mark_coarsen,224346.993353,222796.919811,-1550.0735419999983,224347.021268,222796.951347,-1550.0699210000166,0.0279150000133086,0.03153599999495782,0.00362099998164922
1500,2,heat_update,235277.383367,234307.306543,-970.0768239999888,235381.381232,234415.640165,-965.7410670000245,103.9978650000121,108.33362199997646,4.33575699996436
1500,3,importance,235381.474366,234415.81405,-965.6603160000232,235381.68522,234416.063035,-965.6221850000147,0.21085400000447407,0.24898500001290813,0.03813100000843406
1500,4,mark_refine,235381.856545,234416.818059,-965.0384859999758,235381.889381,234416.860694,-965.0286869999836,0.032835999998496845,0.04263499999069609,0.009798999992199242
1500,5,mark_coarsen,235381.927448,234416.929883,-964.9975649999978,235381.954958,234416.961669,-964.9932889999764,0.027509999985340983,0.03178600000683218,0.0042760000214912
1600,2,heat_update,245597.964445,244691.25127,-906.7131749999826,245694.530046,244790.484388,-904.0456579999882,96.56560100000934,99.23311800000374,2.6675169999944046
1600,3,importance,245694.61161,244790.651588,-903.9600219999847,245694.811365,244790.848328,-903.9630370000086,0.1997550000087358,0.1967399999848567,-0.003015000023879111
1600,4,mark_refine,245694.988608,244791.596208,-903.3924000000115,245695.020018,244791.637012,-903.3830060000182,0.03140999999595806,0.040803999989293516,0.009393999993335456
1600,5,mark_coarsen,245695.050933,244791.69936,-903.3515729999926,245695.078843,244791.725409,-903.3534339999896,0.027910000004339963,0.026049000007333234,-0.0018609999970067292
1700,2,heat_update,255341.480389,254620.038318,-721.4420709999977,255434.438222,254718.254851,-716.1833709999919,92.95783299999312,98.21653299999889,5.258700000005774
1700,3,importance,255434.517867,254718.44693,-716.0709369999822,255434.709695,254718.643066,-716.0666290000081,0.19182800000999123,0.1961359999841079,0.004307999974116683
1700,4,mark_refine,255434.874585,254719.373443,-715.5011420000228,255434.905675,254719.414486,-715.491188999993,0.03108999997493811,0.04104300000471994,0.009953000029781833
1700,5,mark_coarsen,255434.934496,254719.478914,-715.455581999995,255434.959144,254719.506841,-715.4523029999982,0.02464799999142997,0.027926999988267198,0.0032789999968372285
