parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
3599,3,900,0,4,4,4305.381888,4305.564801,0.182913,0x40504c,0,808.056613,3792.659250,1
3599,3,900,1,4,4,4305.381969,4305.560758,0.178789,0x40504c,40,800.000000,4300.000000,1
3599,3,900,2,4,4,4305.382364,4305.557879,0.175515,0x40504c,48,2772.624560,3197.696880,1
3599,3,900,3,4,4,4305.382167,4305.554515,0.172348,0x40504c,56,4300.000000,3117.008149,1
3600,4,900,0,4,4,4305.734842,4305.767155,0.032313,0x4050f7,0,4300.000000,4293.400859,1
3600,4,900,1,4,4,4305.733840,4305.759819,0.025979,0x4050f7,40,811.764438,4298.317025,1
3600,4,900,2,4,4,4305.734088,4305.753667,0.019579,0x4050f7,48,800.000000,4100.000000,1
3600,4,900,3,4,4,4305.733954,4305.753755,0.019801,0x4050f7,56,800.000000,4097.894196,1
3601,5,900,0,4,4,4305.823499,4305.847707,0.024208,0x405149,0,800.000000,4289.369592,1
3601,5,900,1,4,4,4305.823360,4305.853524,0.030164,0x405149,40,4300.000000,4298.563794,1
3601,5,900,2,4,4,4305.823253,4305.842625,0.019372,0x405149,48,800.000000,4097.857889,1
3601,5,900,3,4,4,4305.823207,4305.842729,0.019522,0x405149,56,800.000000,4097.864583,1
3998,2,1000,0,4,4,4782.260929,4785.614445,3.132463,0x40500b,0,3753.266855,3749.316010,1
3998,2,1000,1,4,4,4782.260032,4785.614268,3.086917,0x40500b,40,4300.000000,4299.637479,1
3998,2,1000,2,4,4,4782.260131,4785.610042,3.094185,0x40500b,48,2813.126133,2948.162778,1
3998,2,1000,3,4,4,4782.260082,4785.610482,3.062461,0x40500b,56,2832.155800,2942.913521,1
3999,3,1000,0,4,4,4785.680938,4785.864743,0.183805,0x40504c,0,1698.451186,3698.995057,1
3999,3,1000,1,4,4,4785.680664,4785.858900,0.178236,0x40504c,40,1223.052048,4299.758820,1
3999,3,1000,2,4,4,4785.681375,4785.875184,0.193809,0x40504c,48,4300.000000,2799.855521,1
3999,3,1000,3,4,4,4785.681067,4785.877826,0.196759,0x40504c,56,4219.516017,2799.857572,1
